pair_id,label,difficulty,justification
P0094,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 Pro (60H, 13mm, no ANC) vs 141 Elite ANC (42H, 35dB ANC). Different SKUs in the 141 family."
P0095,DIFFERENT_PRODUCT,medium,"Philips air fryers NA120/00 vs HD9200/90 - different model codes and different product generations; the shared 'Rapid Air' branding is not identity."
P0096,DIFFERENT_PRODUCT,hard,"pTron Bassbuds Air (13mm, 32H, BT5.1) vs Bassbuds B91+ (45H, BT5.3, gaming latency). Different models, different specs throughout."
P0097,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 Gen 2 (48H) vs 141 Pro (60H, 13mm drivers). Different SKUs in the 141 family."
P0098,DIFFERENT_PRODUCT,hard,"Noise ColorFit Pulse 2 Pro vs ColorFit Icon 2 - separate smartwatch lines."
P0099,DIFFERENT_PRODUCT,hard,"boAt Airdopes 141 (base) vs 141 Pro. Only 1.1x apart in price, which is what makes it hard - the model suffix is the whole signal."
P0100,DIFFERENT_PRODUCT,hard,"Noise Buds VS104 vs VS104 Max - the Max adds 25dB ANC where the base has ENC only. Directly parallel to P0074."
P0101,DIFFERENT_PRODUCT,hard,"JBL Tune 215 with '3-Button Mic/Remote and Flat Cable' is the neckband; Tune 215*TWS* is true wireless. Different form factors, which is a product difference rather than a variant."
P0102,DIFFERENT_PRODUCT,hard,"Noise ColorFit Pulse 2 Max vs Pulse 2 Pro - separate models, 1.13x apart."
P0103,EXACT_MATCH,medium,"Same adidas Runfalcon 3.0 men's running shoe, 1.02x apart. A states size 8 where B gives none - an omission, not a conflict."
P0104,DIFFERENT_PRODUCT,hard,"Noise Buds VS104 vs VS104 Max - same distinction as P0100 and P0074."
P0105,DIFFERENT_PRODUCT,hard,"Noise Buds VS104 (Midnight Blue) vs VS104 Max (Rose Gold) - different model AND different colour."
P0106,EXACT_MATCH,easy,"Same Noise Buds VS104 at an identical 899; B names Midnight Blue where A gives the spec list without a colour."
P0107,DIFFERENT_PRODUCT,easy,"Mamaearth *Rice* face wash vs Mamaearth *Vitamin C* face wash - different products in the same range."
P0108,DIFFERENT_PRODUCT,hard,"Genuine OnePlus Bullets Wireless Z2 ANC vs 'Original Earphone FOR OnePlus Z2' with an 'NB=JHDS' seller code - a third-party neckband, the P0073 pattern."
P0109,DIFFERENT_PRODUCT,hard,"pTron Bassbuds Air vs Bassbuds Turbo - different models in the Bassbuds line."
P0181,DIFFERENT_PRODUCT,easy,"Phone case (149) vs an HP 15 laptop (51,990). Unrelated categories; the 349x ratio corroborates."
P0182,DIFFERENT_PRODUCT,easy,"Zebronics TWS earbuds vs a Lenovo IdeaPad laptop. Unrelated categories."
P0183,DIFFERENT_PRODUCT,easy,"Poco X6 Pro smartphone vs a silicone case for boAt Airdopes. Device vs accessory for a different device entirely."
P0184,DIFFERENT_PRODUCT,medium,"OnePlus 15R vs Samsung Galaxy F06 5G - both 5G smartphones but different brands, tiers and specs. Same category, so not a trivial negative."
P0185,DIFFERENT_PRODUCT,medium,"Lenovo IdeaPad Slim 3 (Intel i3, 8GB) vs HP 15 (Ryzen 5, 16GB). Both 15.6"" FHD laptops at 1.14x - different brand, CPU and memory."
P0186,DIFFERENT_PRODUCT,easy,"Genuine OnePlus Bullets Wireless Z2 vs an 'Earbuds for Realme Buds T100' third-party item. Different brands and a knockoff on one side."
P0187,DIFFERENT_PRODUCT,easy,"POCO M7 5G smartphone vs realme Buds Wireless 5 ANC headphones. Unrelated categories."
P0188,DIFFERENT_PRODUCT,easy,"Lenovo IdeaPad laptop vs pTron Bassbuds earbuds. Unrelated categories, 88x price ratio."
P0189,DIFFERENT_PRODUCT,medium,"HP 15 (Ryzen 7 7730U) vs Lenovo IdeaPad Slim 3 (Ryzen 5). Both 15.6"" FHD laptops with 16GB/512GB at 1.03x - a genuinely hard negative despite the cross_category tag."
P0190,DIFFERENT_PRODUCT,easy,"Motorola G45 5G smartphone vs OnePlus Bullets Z2 earphones. Unrelated categories."
P0191,DIFFERENT_PRODUCT,easy,"'Earbuds FOR Realme Buds T100 ... Original Like' is a third-party imitation; B is a genuine boAt Airdopes 131. Different brands and different products."
P0192,DIFFERENT_PRODUCT,easy,"realme Buds T500 Pro vs 'Original Neckband FOR OnePlus Bullets Wireless Z2' - different brands, and A is true wireless while B is a third-party neckband."
P0193,DIFFERENT_PRODUCT,easy,"Motorola G86 Power smartphone vs boAt Rockerz 110 neckband. Unrelated categories, 24x price ratio."
