product1_id,product1_title,product1_brand,product1_description,product2_id,product2_title,product2_brand,product2_description,label
P004821,Open Box Xiaomi 14 128GB Black - Xiaomi,Xiaomi,"Xiaomi's Xiaomi 14 features Dimensity 9200, Open Box, 50 MP triple camera, 128GB for everyday use.",P004822,Xiaomi 14 128GB Titanium Gray - Xiaomi Open Box,Xiaomi,"This Xiaomi 14 from Xiaomi is equipped with 50 MP triple camera, Open Box, 128GB, Snapdragon 8 Gen 3.",0
P011309,Ryzen 5 Lenovo IdeaPad Slim 5 Black 512GB SSD,Lenovo,"The Lenovo IdeaPad Slim 5 comes with 8GB RAM, 512GB SSD, Ryzen 5, Core i5 12th Gen.",P011310,Ryzen 5 Lenovo IdeaPad Slim 5 Black 1TB SSD,Lenovo,"Lenovo's IdeaPad Slim 5 features 32 GB RAM, 1TB SSD, Ryzen 7 RTX 4060, Ryzen 5 for everyday use.",0
P006995,Oppo F25 Pro (512GB) Midnight New,Oppo,"Oppo's F25 Pro features New, 6.1-inch OLED display, 512GB, 48MP main camera for everyday use.",P006996,"New Oppo F25 Pro 512 GB, Midnight",Oppo,"This F25 Pro from Oppo is equipped with 6.1-inch OLED display, New, 48MP main camera, 512 GB.",1
P020957,Microsoft Xbox Series S (512 Digital EditionGB) White,Microsoft,"Microsoft's Xbox Series S features 512 Digital EditionGB, 4K graphics support, Custom SSD storage for everyday use.",P020958,"Microsoft Xbox Series S 2TB, White",Microsoft,"The Microsoft Xbox Series S comes with Ray tracing support, Fast load times, 2TB.",0
P013951,Core i7 16GB RAM Apple MacBook Pro 14 M3 Silver 512GB SSD,Apple,"Apple's MacBook Pro 14 M3 features 512GB SSD, 16GB RAM, Core i7 16GB RAM, Ryzen 5 5600H for everyday use.",P013952,Core i7 16GB RAM Apple MacBook Pro 14 M3 512GB SSD Silver,Apple,"The Apple MacBook Pro 14 M3 comes with 512GB SSD, 16GB RAM, Core i7 16GB RAM, Ryzen 5 5600H.",1
P013789,Core i7 16GB RAM Acer Predator Helios (512GB SSD) Space Gray,Acer,"The Acer Predator Helios comes with 8GB RAM, Ryzen 5 5600H, 512GB SSD, Core i7 16GB RAM.",P013790,Acer Predator Helios 512GB SSD Space Gray Non-Touch Display,Acer,"Experience Ryzen 7 RTX 4060, 512GB SSD, 16GB RAM, Non-Touch Display with the Acer Predator Helios.",0
P007189,"Oppo Reno 11 Pro 256GB, Green",Oppo,"The Oppo Reno 11 Pro comes with 256GB, 108MP quad camera, 6.1 Super Retina XDR.",P007190,Oppo Reno 11 Pro (256GB) White,Oppo,"Oppo's Reno 11 Pro features 6.7 inch AMOLED, 256GB, Snapdragon 8 Gen 3 for everyday use.",0
P025641,"1st Edition Suzanne Collins Catching Fire, Paperback",Suzanne Collins,Suzanne Collins's Catching Fire features 1st Edition for everyday use.,P025642,Anniversary Edition Suzanne Collins Catching Fire Paperback,Suzanne Collins,Experience Anniversary Edition with the Suzanne Collins Catching Fire.,0
P017937,Nike Pegasus 40 (UK 8) Triple Black,Nike,"Nike's Pegasus 40 features UK 8, breathable knit, 43 inch screen for everyday use.",P017938,Pegasus 40 UK 10 Triple Black - Nike,Nike,"Experience 55in display, breathable knit, UK 10 with the Nike Pegasus 40.",0
P023915,Crucial X6 Portable (500GB) Black PCIe 4.0,Crucial,"Crucial's X6 Portable features USB-C interface, 7000 MB/s read speed, PCIe 4.0, 500GB for everyday use.",P023916,"PCIe 4.0 Crucial X6 Portable 500 GB, Black",Crucial,"Crucial's X6 Portable features 500 GB, USB-C interface, 7000 MB/s read speed, PCIe 4.0 for everyday use.",1
P009947,HP Pavilion 15 256GB SSD Silver Core i7 16GB RAM,HP,"The HP Pavilion 15 comes with 32 GB RAM, Ryzen 5 5600H, 256GB SSD, Core i7 16GB RAM.",P009948,Pavilion 15 256GB SSD Silver - HP Core i7 16GB RAM,HP,"Experience Core i7 16GB RAM, 256GB SSD, Ryzen 5 5600H, 32 GB RAM with the HP Pavilion 15.",1
P005251,Google Pixel 8 Pro 512GB Phantom Black Renewed,Google,"Pixel 8 Pro by Google: Exynos 2400, 512GB, 50 MP triple camera, Renewed.",P005252,Pixel 8 Pro 512 GB Phantom Black - Google Renewed,Google,"Google's Pixel 8 Pro features Exynos 2400, 50 MP triple camera, Renewed, 512 GB for everyday use.",1
P003357,OnePlus 12 (128GB) Titanium Gray Open Box,OnePlus,"12 by OnePlus: 128GB, Tensor G3, 6.7 inch AMOLED, Open Box.",P003358,OnePlus 12 Blue 128GB Open Box,OnePlus,"The OnePlus 12 comes with 50 MP triple camera, Open Box, 6.5in LCD 120Hz, 128GB.",0
P014027,Apple MacBook Pro 14 M3 256GB SSD Silver Core i7 16GB RAM,Apple,"Experience 256GB SSD, 32 GB RAM, Core i7 16GB RAM, Core i5 12th Gen with the Apple MacBook Pro 14 M3.",P014028,MacBook Pro 14 M3 256GB SSD Silver - Apple Core i7 16GB RAM,Apple,"The Apple MacBook Pro 14 M3 comes with 256GB SSD, 32 GB RAM, Core i5 12th Gen, Core i7 16GB RAM.",1
P014645,Core i9 RTX 4070 Katana 15 512GB SSD Space Gray - MSI,MSI,"MSI's Katana 15 features 32 GB RAM, Core i5 12th Gen, Core i9 RTX 4070, 512GB SSD for everyday use.",P014646,"MSI Katana 15 512GB SSD, Blue Core i9 RTX 4070",MSI,"The MSI Katana 15 comes with Core i5 12th Gen, 512GB SSD, Core i9 RTX 4070, 32 GB RAM.",0
P005027,"Xiaomi Xiaomi 14 Ultra 256GB, Desert Titanium Renewed",Xiaomi,"Xiaomi's Xiaomi 14 Ultra features 6.5in LCD 120Hz, 256GB, Renewed, Exynos 2400 for everyday use.",P005028,Renewed Xiaomi 14 Ultra 256 GB Desert Titanium - Xiaomi,Xiaomi,"Experience Renewed, 256 GB, Exynos 2400, 6.5in LCD 120Hz with the Xiaomi Xiaomi 14 Ultra.",1
P022221,Dell UltraSharp U2723QE Black 32 inch,Dell,"The Dell UltraSharp U2723QE comes with 60Hz refresh rate, 32 inch, 4K UHD resolution.",P022222,Dell UltraSharp U2723QE Black 34 inch,Dell,"The Dell UltraSharp U2723QE comes with 144Hz refresh rate, QHD resolution, 34 inch.",0
P013673,Windows 11 Acer Swift 3 (256GB SSD) Black,Acer,"This Swift 3 from Acer is equipped with 256GB SSD, Ryzen 7 RTX 4060, Windows 11, 32 GB RAM.",P013674,Non-Touch Display Acer Swift 3 256GB SSD Black,Acer,"Swift 3 by Acer: 256GB SSD, 32 GB RAM, Non-Touch Display, Ryzen 7 RTX 4060.",0
P025975,Cyberpunk 2077 Standard - CD Projekt Red Xbox Series X,CD Projekt Red,This Cyberpunk 2077 from CD Projekt Red is equipped with Xbox Series X.,P025976,Xbox Series X Cyberpunk 2077 Standard - CD Projekt Red,CD Projekt Red,The CD Projekt Red Cyberpunk 2077 comes with Xbox Series X.,1
P018701,Runfalcon 3 UK 10 Grey - Adidas,Adidas,"Adidas's Runfalcon 3 features breathable knit, 43 inch screen, UK 10 for everyday use.",P018702,"Adidas Runfalcon 3 UK 10, Blue",Adidas,"Adidas's Runfalcon 3 features UK 10, Mesh upper, 43 inch screen for everyday use.",0
P025167,Cordless Vacuum Eureka NEC122 Silver,Eureka,"NEC122 by Eureka: Cordless Vacuum, Powerful cyclone suction, 90 minute runtime.",P025168,NEC122 Silver - Eureka Cordless Vacuum,Eureka,"NEC122 by Eureka: Powerful cyclone suction, Cordless Vacuum, 90 minute runtime.",1
P017997,Nike Revolution 6 (UK 7) Triple Black,Nike,"Nike's Revolution 6 features 43 inch screen, Mesh upper, UK 7 for everyday use.",P017998,Nike Revolution 6 Grey UK 7,Nike,"The Nike Revolution 6 comes with 43 inch screen, UK 7, Mesh upper.",0
P016717,OLED C3 55 inch Black - LG,LG,"This OLED C3 from LG is equipped with 4K UHD resolution, 55 inch, 55in display.",P016718,LG NanoCell 4K Black 55 inch,LG,"LG's NanoCell 4K features 55 inch, 43 inch screen, Full HD resolution for everyday use.",0
P007665,Realme 11 Pro Black 64GB,Realme,"This 11 Pro from Realme is equipped with 6.1 Super Retina XDR, 64GB, Snapdragon 8 Gen 3.",P007666,Realme 11 Pro Titanium Gray 64GB,Realme,"11 Pro by Realme: 64GB, Snapdragon 8 Gen 3, 6.1 Super Retina XDR.",0
P007025,Refurbished Oppo Reno 10 512GB Black,Oppo,"Reno 10 by Oppo: Snapdragon 8 Gen 3, 48MP main camera, Refurbished, 512GB.",P007026,"Refurbished Oppo Reno 10 512GB, Desert Titanium",Oppo,"This Reno 10 from Oppo is equipped with Dimensity 9200, 6.1 Super Retina XDR, 512GB, Refurbished.",0
P026313,PS5 Nintendo Super Mario Odyssey Standard,Nintendo,The Nintendo Super Mario Odyssey comes with PS5.,P026314,"Nintendo Switch Nintendo Super Mario Odyssey, Standard",Nintendo,The Nintendo Super Mario Odyssey comes with Nintendo Switch.,0
P010963,Dell Vostro 14 (1TB SSD) Space Gray Non-Touch Display,Dell,"Experience Non-Touch Display, 1TB SSD, 16GB RAM, Ryzen 7 RTX 4060 with the Dell Vostro 14.",P010964,Non-Touch Display Dell Vostro 14 1TB SSD Space Gray,Dell,"Vostro 14 by Dell: Non-Touch Display, Ryzen 7 RTX 4060, 1TB SSD, 16GB RAM.",1
P018349,"Adidas Duramo SL UK 8, Blue",Adidas,"Experience 55in display, UK 8, breathable knit with the Adidas Duramo SL.",P018350,Adidas Duramo SL (UK 10) Blue,Adidas,"Adidas's Duramo SL features 43 inch screen, Leather upper, UK 10 for everyday use.",0
P003855,Xiaomi Xiaomi 14 Green 256GB Open Box,Xiaomi,"The Xiaomi Xiaomi 14 comes with 50 MP triple camera, 256GB, 6.7 inch AMOLED, Open Box.",P003856,Xiaomi Xiaomi 14 (256 GB) Green Open Box,Xiaomi,"Xiaomi's Xiaomi 14 features 50 MP triple camera, 6.7 inch AMOLED, 256 GB, Open Box for everyday use.",1
P006667,Vivo X90 White 128GB Renewed,Vivo,"Experience 128GB, 108MP quad camera, Renewed, Dimensity 9200 with the Vivo X90.",P006668,Vivo X90 (128 GB) White Renewed,Vivo,"Vivo's X90 features Renewed, Dimensity 9200, 108MP quad camera, 128 GB for everyday use.",1
P026113,"Rockstar Games Grand Theft Auto V, Standard PC",Rockstar Games,This Grand Theft Auto V from Rockstar Games is equipped with PC.,P026114,"Rockstar Games Grand Theft Auto V, Standard Deluxe Edition",Rockstar Games,This Grand Theft Auto V from Rockstar Games is equipped with Deluxe Edition.,0
P021497,DSLR Camera Canon EOS R10 (with 24-70mm Lens) Black,Canon,"The Canon EOS R10 comes with DSLR Camera, APS-C sensor, with 24-70mm Lens, 33MP resolution.",P021498,APS-C Sensor Canon EOS R10 (with 24-70mm Lens) Black,Canon,"EOS R10 by Canon: APS-C Sensor, APS-C sensor, 26MP resolution, with 24-70mm Lens.",0
P020077,Summits UK 6 Triple Black - Skechers,Skechers,"This Summits from Skechers is equipped with UK 6, 55in display, breathable knit.",P020078,Summits UK 6 Blue - Skechers,Skechers,"Experience breathable knit, UK 6, 55in display with the Skechers Summits.",0
P000991,iPhone 15 Pro 64GB Titanium Gray - Apple Open Box,Apple,"Apple's iPhone 15 Pro features 64GB, Exynos 2400, Open Box, 6.5in LCD 120Hz for everyday use.",P000992,Open Box Apple iPhone 15 Pro 64 GB Titanium Gray,Apple,"Apple's iPhone 15 Pro features 64 GB, 6.5in LCD 120Hz, Open Box, Exynos 2400 for everyday use.",1
P001493,"Samsung Galaxy S23 Ultra 128GB, Green",Samsung,"The Samsung Galaxy S23 Ultra comes with A16 Bionic chip, 6.1-inch OLED display, 128GB.",P001494,"Samsung Galaxy S24 128GB, Green",Samsung,"The Samsung Galaxy S24 comes with 128GB, 108MP quad camera, Snapdragon 8 Gen 3.",0
P018953,"Puma Smash v2 UK 8, Grey",Puma,"The Puma Smash v2 comes with breathable knit, UK 8, 43 inch screen.",P018954,Puma Smash v2 UK 9 Grey,Puma,"This Smash v2 from Puma is equipped with UK 9, 43 inch screen, Leather upper.",0
P002545,"Renewed Samsung Galaxy A54 256GB, Blue",Samsung,"Experience 6.1-inch OLED display, Renewed, 50 MP triple camera, 256GB with the Samsung Galaxy A54.",P002546,Galaxy A54 256GB White - Samsung Renewed,Samsung,"The Samsung Galaxy A54 comes with Tensor G3, 108MP quad camera, 256GB, Renewed.",0
P003765,Redmi Note 13 Pro 128GB Black - Xiaomi,Xiaomi,"Redmi Note 13 Pro by Xiaomi: 48MP main camera, Tensor G3, 128GB.",P003766,Xiaomi Redmi Note 12 128GB Black,Xiaomi,"Experience 50 MP triple camera, 6.7 inch AMOLED, 128GB with the Xiaomi Redmi Note 12.",0
P001419,Refurbished iPhone 16 Pro 256GB Green - Apple,Apple,"The Apple iPhone 16 Pro comes with 108MP quad camera, 256GB, Refurbished, 6.5in LCD 120Hz.",P001420,Refurbished Apple iPhone 16 Pro Green 256 GB,Apple,"This iPhone 16 Pro from Apple is equipped with 256 GB, 6.5in LCD 120Hz, Refurbished, 108MP quad camera.",1
P005807,Google Pixel 8 Pro 64GB Green Refurbished,Google,"This Pixel 8 Pro from Google is equipped with 6.5in LCD 120Hz, 108MP quad camera, 64GB, Refurbished.",P005808,Refurbished Google Pixel 8 Pro 64 GB Green,Google,"Experience 108MP quad camera, 64 GB, 6.5in LCD 120Hz, Refurbished with the Google Pixel 8 Pro.",1
P016329,Phoenix Pro Black - Fire-Boltt,Fire-Boltt,"Phoenix Pro by Fire-Boltt: Heart rate monitor, ANC enabled.",P016330,Fire-Boltt Phoenix Pro Silver,Fire-Boltt,"The Fire-Boltt Phoenix Pro comes with Bluetooth 5.3, ANC enabled.",0
P026491,Wi-Fi 6 Archer AX21 Black - TP-Link,TP-Link,Archer AX21 by TP-Link: Wi-Fi 6.,P026492,"TP-Link Archer AX21, Black Wi-Fi 6",TP-Link,Archer AX21 by TP-Link: Wi-Fi 6.,1
P013143,Core i7 16GB RAM Acer Predator Helios (256GB SSD) Space Gray,Acer,"The Acer Predator Helios comes with 256GB SSD, 32 GB RAM, Core i7 16GB RAM, Ryzen 5 5600H.",P013144,Core i7 16GB RAM Predator Helios 256GB SSD Space Gray - Acer,Acer,"Predator Helios by Acer: Ryzen 5 5600H, 32 GB RAM, 256GB SSD, Core i7 16GB RAM.",1
P012861,Ryzen 5 Asus TUF Gaming A15 512GB SSD Black,Asus,"The Asus TUF Gaming A15 comes with Ryzen 5, 32 GB RAM, Ryzen 5 5600H, 512GB SSD.",P012862,"Asus TUF Gaming A15 512GB SSD, Black Core i7 16GB RAM",Asus,"This TUF Gaming A15 from Asus is equipped with Core i7 16GB RAM, 16GB RAM, Core i7 RTX 3050, 512GB SSD.",0
P015323,JBL Tune 230NC White,JBL,"Tune 230NC by JBL: IP67 water resistant, Up to 30 hours battery.",P015324,Tune 230NC White - JBL,JBL,"Experience IP67 water resistant, Up to 30 hours battery with the JBL Tune 230NC.",1
P003393,"Renewed OnePlus 12 256GB, Blue",OnePlus,"Experience Renewed, 256GB, 6.7 inch AMOLED, Tensor G3 with the OnePlus 12.",P003394,Renewed 12 256GB Desert Titanium - OnePlus,OnePlus,"The OnePlus 12 comes with Tensor G3, 48MP main camera, Renewed, 256GB.",0
P020847,Microsoft Xbox Series X 512 Disc EditionGB Black,Microsoft,"Xbox Series X by Microsoft: 512 Disc EditionGB, 4K graphics support, Fast load times.",P020848,"Microsoft Xbox Series X 512 Disc Edition GB, Black",Microsoft,"Experience 4K graphics support, Fast load times, 512 Disc Edition GB with the Microsoft Xbox Series X.",1
P017745,Air Force 1 UK 6 Grey - Nike,Nike,"Air Force 1 by Nike: UK 6, 43 inch screen, Leather upper.",P017746,Air Force 1 UK 9 Grey - Nike,Nike,"This Air Force 1 from Nike is equipped with 55in display, breathable knit, UK 9.",0
P017053,Bravia X90L 43 inch Black - Sony,Sony,"This Bravia X90L from Sony is equipped with 4K UHD resolution, 43 inch, 55in display.",P017054,Sony Bravia X90L Black 65 inch,Sony,"Sony's Bravia X90L features 43 inch screen, QHD resolution, 65 inch for everyday use.",0
P001133,Open Box Apple iPhone 16 Green 128GB,Apple,"iPhone 16 by Apple: 6.1-inch OLED display, 50 MP triple camera, 128GB, Open Box.",P001134,"Apple iPhone 16 128GB, White Open Box",Apple,"The Apple iPhone 16 comes with Open Box, 128GB, 6.1-inch OLED display, Snapdragon 8 Gen 3.",0
P016657,"Samsung Neo QLED 4K 50 inch, Black",Samsung,"The Samsung Neo QLED 4K comes with 50 inch, 55in display, QHD resolution.",P016658,Samsung Neo QLED 4K (55 inch) Black,Samsung,"The Samsung Neo QLED 4K comes with 55 inch, 55in display, 4K UHD resolution.",0
P020827,Xbox Series X 512 Digital EditionGB Black - Microsoft,Microsoft,"The Microsoft Xbox Series X comes with 512 Digital EditionGB, Fast load times, Ray tracing support.",P020828,Microsoft Xbox Series X Black 512 Digital Edition GB,Microsoft,"Xbox Series X by Microsoft: Fast load times, 512 Digital Edition GB, Ray tracing support.",1
P015683,"Samsung Galaxy Buds FE, Black",Samsung,"Experience Up to 30 hours battery, Heart rate monitor with the Samsung Galaxy Buds FE.",P015684,Galaxy Buds FE Black - Samsung,Samsung,"Galaxy Buds FE by Samsung: Up to 30 hours battery, Heart rate monitor.",1
P003177,New 12R 64GB Midnight - OnePlus,OnePlus,"This 12R from OnePlus is equipped with New, 64GB, 50 MP triple camera, Snapdragon 8 Gen 3.",P003178,New OnePlus 12R Midnight 512GB,OnePlus,"This 12R from OnePlus is equipped with 48MP main camera, A16 Bionic chip, New, 512GB.",0
P011463,Ryzen 7 RTX 4060 Yoga Slim 7 256GB SSD Space Gray - Lenovo,Lenovo,"Experience Ryzen 5 5600H, 256GB SSD, Ryzen 7 RTX 4060, 16GB RAM with the Lenovo Yoga Slim 7.",P011464,Lenovo Yoga Slim 7 Space Gray 256GB SSD Ryzen 7 RTX 4060,Lenovo,"Yoga Slim 7 by Lenovo: 16GB RAM, Ryzen 7 RTX 4060, Ryzen 5 5600H, 256GB SSD.",1
P018961,Puma Smash v2 UK 8 Blue,Puma,"This Smash v2 from Puma is equipped with UK 8, Leather upper, 55in display.",P018962,Smash v2 UK 10 Blue - Puma,Puma,"This Smash v2 from Puma is equipped with breathable knit, UK 10, 55in display.",0
P012837,TUF Gaming A15 512GB SSD Blue - Asus Core i5 RTX 3050,Asus,"This TUF Gaming A15 from Asus is equipped with Core i5 RTX 3050, Core i7 RTX 3050, 512GB SSD, 8GB RAM.",P012838,Core i7 16GB RAM Asus TUF Gaming A15 512GB SSD Blue,Asus,"Asus's TUF Gaming A15 features Ryzen 7 RTX 4060, Core i7 16GB RAM, 8GB RAM, 512GB SSD for everyday use.",0
P010685,Dell Inspiron 15 Blue 512GB SSD Core i7 16GB RAM,Dell,"The Dell Inspiron 15 comes with 32 GB RAM, Core i7 16GB RAM, Core i7 RTX 3050, 512GB SSD.",P010686,Dell Inspiron 15 512GB SSD Blue Ubuntu Linux,Dell,"This Inspiron 15 from Dell is equipped with 8GB RAM, Ubuntu Linux, Core i5 12th Gen, 512GB SSD.",0
P016445,Crystal 4K UHD 65 inch Black - Samsung,Samsung,"Crystal 4K UHD by Samsung: 65 inch, 43 inch screen, 4K UHD resolution.",P016446,The Frame QLED 65 inch Black - Samsung,Samsung,"The Frame QLED by Samsung: 65 inch, 4K UHD resolution, 55in display.",0
P013487,Nitro 5 512GB SSD Blue - Acer Core i9 RTX 4070,Acer,"Experience Core i5 12th Gen, 16GB RAM, 512GB SSD, Core i9 RTX 4070 with the Acer Nitro 5.",P013488,"Acer Nitro 5 512GB SSD, Blue Core i9 RTX 4070",Acer,"This Nitro 5 from Acer is equipped with Core i5 12th Gen, 16GB RAM, Core i9 RTX 4070, 512GB SSD.",1
P000089,Open Box Apple iPhone 14 White 64GB,Apple,"iPhone 14 by Apple: 64GB, A16 Bionic chip, Open Box, 6.5in LCD 120Hz.",P000090,Open Box Apple iPhone 16 64GB White,Apple,"This iPhone 16 from Apple is equipped with 48MP main camera, Open Box, 6.5in LCD 120Hz, 64GB.",0
P000893,Apple iPhone 15 (128GB) Blue Open Box,Apple,"Experience Open Box, 128GB, 6.1 Super Retina XDR, Tensor G3 with the Apple iPhone 15.",P000894,Open Box iPhone 15 128GB White - Apple,Apple,"Apple's iPhone 15 features 6.1 Super Retina XDR, Open Box, 128GB, 108MP quad camera for everyday use.",0
P010481,Windows 11 Alienware m16 256GB SSD Space Gray - Dell,Dell,"Experience Windows 11, Core i7 RTX 3050, 256GB SSD, 32 GB RAM with the Dell Alienware m16.",P010482,"Windows 11 Dell Alienware m16 1TB SSD, Space Gray",Dell,"Dell's Alienware m16 features Windows 11, 1TB SSD, Ryzen 5 5600H, 8GB RAM for everyday use.",0
P003617,OnePlus 12R (256GB) Blue Refurbished,OnePlus,"OnePlus's 12R features 256GB, Refurbished, 50 MP triple camera, Snapdragon 8 Gen 3 for everyday use.",P003618,"Refurbished OnePlus 12R 256GB, Desert Titanium",OnePlus,"12R by OnePlus: 48MP main camera, 6.1-inch OLED display, 256GB, Refurbished.",0
P012797,Asus Zenbook 14 256GB SSD Space Gray Touch Display,Asus,"Zenbook 14 by Asus: 256GB SSD, Ryzen 7 RTX 4060, 16GB RAM, Touch Display.",P012798,"Non-Touch Display Asus Zenbook 14 256GB SSD, Space Gray",Asus,"Experience 256GB SSD, Core i5 12th Gen, 16GB RAM, Non-Touch Display with the Asus Zenbook 14.",0
P016685,Samsung Neo QLED 4K (55 inch) Black,Samsung,"Samsung's Neo QLED 4K features 55 inch, QHD resolution, 55in display for everyday use.",P016686,Samsung Neo QLED 4K 65 inch Black,Samsung,"Samsung's Neo QLED 4K features 43 inch screen, Full HD resolution, 65 inch for everyday use.",0
P023821,"Crucial P5 Plus 2TB, Black Portable SSD",Crucial,"P5 Plus by Crucial: 2TB, 7000 MB/s read speed, SATA III interface, Portable SSD.",P023822,Portable SSD Crucial P5 Plus 4TB Black,Crucial,"P5 Plus by Crucial: SATA III interface, Portable SSD, 4TB, 560 MB/s read speed.",0
P015807,Noise Buds Prima Blue,Noise,"Buds Prima by Noise: Bluetooth 5.3, 22hr playback.",P015808,Buds Prima Blue - Noise,Noise,"The Noise Buds Prima comes with 22hr playback, Bluetooth 5.3.",1
P007423,Realme 11 Pro Titanium Gray 64GB New,Realme,"11 Pro by Realme: 48MP main camera, 64GB, New, Exynos 2400.",P007424,"Realme 11 Pro 64 GB, Titanium Grey New",Realme,"Experience 48MP main camera, New, 64 GB, Exynos 2400 with the Realme 11 Pro.",1
P021001,Nintendo Switch OLED (512 Digital EditionGB) Black,Nintendo,"This Switch OLED from Nintendo is equipped with 512 Digital EditionGB, Custom SSD storage, Ray tracing support.",P021002,Switch 2 512 Digital EditionGB Black - Nintendo,Nintendo,"Switch 2 by Nintendo: 512 Digital EditionGB, 4K graphics support, Custom SSD storage.",0
P002309,Galaxy S24 64GB Titanium Gray - Samsung Refurbished,Samsung,"Experience 6.1 Super Retina XDR, A16 Bionic chip, 64GB, Refurbished with the Samsung Galaxy S24.",P002310,Refurbished Galaxy S24 64GB Desert Titanium - Samsung,Samsung,"The Samsung Galaxy S24 comes with 64GB, Snapdragon 8 Gen 3, Refurbished, 6.5in LCD 120Hz.",0
P008347,Motorola Edge 40 (256GB) Black Open Box,Motorola,"Experience 6.1 Super Retina XDR, 256GB, Open Box, Tensor G3 with the Motorola Edge 40.",P008348,Open Box Motorola Edge 40 256 GB Black,Motorola,"This Edge 40 from Motorola is equipped with Tensor G3, 256 GB, 6.1 Super Retina XDR, Open Box.",1
P001475,New Samsung Galaxy S23 Phantom Black 256GB,Samsung,"Galaxy S23 by Samsung: A16 Bionic chip, 48MP main camera, New, 256GB.",P001476,"Samsung Galaxy S23 256 GB, Phantom Black New",Samsung,"This Galaxy S23 from Samsung is equipped with 256 GB, 48MP main camera, A16 Bionic chip, New.",1
